Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
6 maj 26 14:58:15,2,4.6 m,60 km/h
6 maj 26 14:58:19,2,4.8 m,50 km/h
6 maj 26 14:58:43,1,4.3 m,74 km/h
6 maj 26 14:58:57,2,5.3 m,46 km/h
6 maj 26 14:59:54,1,3.9 m,57 km/h
6 maj 26 14:59:55,2,4.1 m,43 km/h
6 maj 26 15:00:00,2,4.5 m,50 km/h
6 maj 26 15:00:22,1,4.0 m,62 km/h
6 maj 26 15:02:21,1,4.1 m,50 km/h
6 maj 26 15:02:48,2,6.4 m,60 km/h
6 maj 26 15:03:08,2,3.6 m,45 km/h
6 maj 26 15:05:25,1,6.0 m,50 km/h
6 maj 26 15:06:23,2,4.3 m,68 km/h
6 maj 26 15:07:41,2,5.4 m,52 km/h
6 maj 26 15:07:46,1,3.8 m,71 km/h
6 maj 26 15:08:39,2,4.6 m,60 km/h
6 maj 26 15:09:03,1,3.4 m,56 km/h
6 maj 26 15:09:31,2,4.9 m,42 km/h
6 maj 26 15:09:34,2,4.3 m,43 km/h
6 maj 26 15:09:35,2,4.8 m,43 km/h
6 maj 26 15:10:25,2,4.6 m,36 km/h
6 maj 26 15:11:04,1,4.6 m,67 km/h
6 maj 26 15:11:31,1,4.8 m,49 km/h
6 maj 26 15:11:45,1,8.0 m,40 km/h
6 maj 26 15:11:48,1,4.5 m,42 km/h
6 maj 26 15:12:01,2,5.3 m,62 km/h
6 maj 26 15:12:03,1,3.9 m,49 km/h
6 maj 26 15:12:08,2,4.2 m,55 km/h
6 maj 26 15:13:24,2,4.7 m,62 km/h
6 maj 26 15:14:19,2,3.5 m,47 km/h
6 maj 26 15:15:12,2,3.8 m,54 km/h
6 maj 26 15:15:22,2,4.2 m,64 km/h
6 maj 26 15:15:28,2,5.3 m,43 km/h
6 maj 26 15:15:37,1,3.8 m,43 km/h
6 maj 26 15:15:44,1,2.3 m,57 km/h
6 maj 26 15:16:17,1,4.1 m,44 km/h
6 maj 26 15:16:42,1,6.0 m,52 km/h
6 maj 26 15:17:15,1,3.8 m,45 km/h
6 maj 26 15:17:43,1,6.4 m,41 km/h
6 maj 26 15:19:12,2,14.4 m,50 km/h
6 maj 26 15:21:11,1,4.1 m,58 km/h
6 maj 26 15:21:15,1,4.0 m,53 km/h
6 maj 26 15:21:24,1,10.7 m,72 km/h
6 maj 26 15:22:13,2,5.1 m,46 km/h
6 maj 26 15:22:16,1,3.6 m,65 km/h
6 maj 26 15:22:18,2,4.7 m,30 km/h
6 maj 26 15:22:59,2,4.5 m,56 km/h
6 maj 26 15:23:01,2,3.4 m,56 km/h
6 maj 26 15:23:04,2,4.4 m,51 km/h
6 maj 26 15:24:38,2,3.7 m,58 km/h
6 maj 26 15:25:16,2,4.7 m,65 km/h
6 maj 26 15:26:00,1,8.1 m,52 km/h
6 maj 26 15:26:25,1,4.0 m,36 km/h
6 maj 26 15:27:45,1,4.0 m,46 km/h
6 maj 26 15:27:47,1,3.6 m,44 km/h
6 maj 26 15:28:29,1,3.3 m,38 km/h
6 maj 26 15:28:34,2,4.2 m,44 km/h
6 maj 26 15:29:02,2,4.3 m,61 km/h
6 maj 26 15:29:12,2,4.6 m,37 km/h
6 maj 26 15:31:15,2,4.3 m,55 km/h
6 maj 26 15:31:19,2,5.3 m,59 km/h
6 maj 26 15:31:57,2,4.8 m,44 km/h
6 maj 26 15:32:54,2,5.0 m,72 km/h
6 maj 26 15:33:06,2,4.7 m,62 km/h
6 maj 26 15:33:14,1,13.2 m,25 km/h
6 maj 26 15:34:08,2,4.4 m,52 km/h
6 maj 26 15:34:43,2,4.9 m,52 km/h
6 maj 26 15:34:53,2,3.7 m,95 km/h
6 maj 26 15:36:20,1,4.9 m,43 km/h
6 maj 26 15:36:34,2,4.4 m,41 km/h
6 maj 26 15:37:01,1,5.3 m,67 km/h
6 maj 26 15:37:11,1,4.8 m,25 km/h
6 maj 26 15:38:10,2,4.3 m,62 km/h
6 maj 26 15:40:12,1,3.8 m,61 km/h
6 maj 26 15:40:30,2,5.5 m,37 km/h
6 maj 26 15:41:21,2,4.9 m,61 km/h
6 maj 26 15:41:31,2,4.9 m,46 km/h
6 maj 26 15:41:45,2,3.6 m,49 km/h
6 maj 26 15:43:29,2,3.8 m,89 km/h
6 maj 26 15:44:19,2,3.0 m,59 km/h
6 maj 26 15:44:30,2,3.8 m,54 km/h
6 maj 26 15:45:33,2,5.2 m,56 km/h
6 maj 26 15:46:50,2,3.8 m,44 km/h
6 maj 26 15:47:27,1,13.5 m,38 km/h
6 maj 26 15:47:35,2,18.2 m,42 km/h
6 maj 26 15:47:40,2,6.0 m,36 km/h
6 maj 26 15:49:02,2,4.6 m,63 km/h
6 maj 26 15:49:33,1,5.8 m,42 km/h
6 maj 26 15:50:24,2,4.7 m,61 km/h
6 maj 26 15:50:45,1,4.8 m,26 km/h
6 maj 26 15:50:57,2,4.4 m,59 km/h
6 maj 26 15:51:02,1,4.4 m,70 km/h
6 maj 26 15:51:03,2,4.5 m,49 km/h
6 maj 26 15:51:06,2,5.7 m,53 km/h
6 maj 26 15:51:41,1,4.2 m,42 km/h
6 maj 26 15:51:46,2,5.5 m,30 km/h
6 maj 26 15:51:57,1,4.3 m,53 km/h
6 maj 26 15:52:44,2,4.7 m,63 km/h
6 maj 26 15:53:38,1,3.7 m,35 km/h
6 maj 26 15:53:55,2,5.6 m,48 km/h
6 maj 26 15:53:59,2,13.0 m,43 km/h
6 maj 26 15:54:01,2,4.6 m,41 km/h
6 maj 26 15:55:49,1,3.9 m,54 km/h
6 maj 26 15:56:08,2,5.3 m,53 km/h
6 maj 26 15:56:10,1,3.7 m,54 km/h
6 maj 26 15:56:37,1,7.2 m,44 km/h
6 maj 26 15:56:37,1,0.9 m,34 km/h
6 maj 26 15:56:43,1,4.2 m,47 km/h
6 maj 26 15:56:50,2,4.0 m,41 km/h
6 maj 26 15:56:53,2,4.6 m,51 km/h
6 maj 26 15:58:18,2,4.1 m,57 km/h
6 maj 26 16:00:02,1,2.3 m,34 km/h
6 maj 26 16:00:02,1,0.6 m,34 km/h
6 maj 26 16:00:10,2,5.5 m,49 km/h
6 maj 26 16:03:45,1,4.9 m,34 km/h
6 maj 26 16:04:38,2,3.8 m,97 km/h
6 maj 26 16:05:11,1,4.0 m,88 km/h
6 maj 26 16:05:22,2,4.6 m,76 km/h
6 maj 26 16:05:44,2,5.8 m,49 km/h
6 maj 26 16:06:17,1,2.3 m,58 km/h
6 maj 26 16:06:30,2,4.9 m,61 km/h
6 maj 26 16:06:34,2,6.9 m,61 km/h
6 maj 26 16:06:34,1,3.6 m,47 km/h
6 maj 26 16:06:53,1,3.7 m,71 km/h
6 maj 26 16:07:13,2,4.9 m,56 km/h
6 maj 26 16:07:39,2,4.7 m,49 km/h
6 maj 26 16:07:44,1,4.4 m,81 km/h
6 maj 26 16:07:53,1,4.3 m,65 km/h
6 maj 26 16:10:27,2,4.5 m,25 km/h
6 maj 26 16:11:49,2,4.2 m,43 km/h
6 maj 26 16:13:15,2,4.3 m,74 km/h
6 maj 26 16:13:25,2,4.7 m,82 km/h
6 maj 26 16:13:56,2,7.5 m,58 km/h
6 maj 26 16:14:23,2,6.1 m,68 km/h
6 maj 26 16:14:34,2,5.2 m,62 km/h
6 maj 26 16:14:48,1,3.6 m,65 km/h
6 maj 26 16:17:54,2,4.3 m,59 km/h
6 maj 26 16:18:25,2,4.8 m,59 km/h
6 maj 26 16:19:05,2,4.2 m,60 km/h
6 maj 26 16:21:27,1,4.6 m,47 km/h
6 maj 26 16:21:58,2,9.2 m,47 km/h
6 maj 26 16:22:00,2,4.3 m,54 km/h
6 maj 26 16:22:06,1,3.8 m,48 km/h
6 maj 26 16:23:04,2,5.9 m,24 km/h
6 maj 26 16:23:54,2,5.7 m,45 km/h
6 maj 26 16:24:01,2,4.1 m,63 km/h
6 maj 26 16:24:07,1,4.0 m,54 km/h
6 maj 26 16:27:29,2,3.8 m,52 km/h
6 maj 26 16:27:32,1,4.0 m,54 km/h
6 maj 26 16:27:37,1,4.5 m,42 km/h
6 maj 26 16:28:11,1,6.6 m,92 km/h
6 maj 26 16:28:11,1,4.2 m,48 km/h
6 maj 26 16:28:32,1,3.5 m,49 km/h
6 maj 26 16:28:33,1,2.3 m,47 km/h
6 maj 26 16:29:06,1,4.2 m,44 km/h
6 maj 26 16:29:14,1,7.0 m,54 km/h
6 maj 26 16:29:20,1,7.1 m,56 km/h
6 maj 26 16:29:29,2,4.2 m,44 km/h
6 maj 26 16:31:38,2,4.6 m,38 km/h
6 maj 26 16:32:33,1,20.7 m,36 km/h
6 maj 26 16:32:35,1,4.4 m,32 km/h
6 maj 26 16:33:39,2,4.8 m,35 km/h
6 maj 26 16:34:44,1,3.9 m,52 km/h
6 maj 26 16:34:45,1,4.9 m,66 km/h
6 maj 26 16:35:19,2,4.1 m,76 km/h
6 maj 26 16:36:13,1,4.9 m,50 km/h
6 maj 26 16:37:04,1,4.5 m,44 km/h
6 maj 26 16:37:20,2,7.1 m,35 km/h
6 maj 26 16:37:22,2,5.9 m,36 km/h
6 maj 26 16:38:44,2,5.9 m,63 km/h
6 maj 26 16:39:33,1,4.0 m,39 km/h
6 maj 26 16:40:06,2,4.7 m,57 km/h
6 maj 26 16:40:30,1,1.2 m,16 km/h
6 maj 26 16:41:24,2,4.3 m,45 km/h
6 maj 26 16:41:37,1,4.1 m,49 km/h
6 maj 26 16:42:31,2,4.1 m,59 km/h
6 maj 26 16:42:54,2,5.1 m,64 km/h
6 maj 26 16:43:02,1,7.3 m,52 km/h
6 maj 26 16:43:43,1,3.8 m,48 km/h
6 maj 26 16:43:47,2,4.4 m,64 km/h
6 maj 26 16:44:01,1,3.9 m,49 km/h
6 maj 26 16:47:38,2,5.2 m,52 km/h
6 maj 26 16:48:10,2,4.7 m,50 km/h
6 maj 26 16:49:17,2,4.0 m,43 km/h
6 maj 26 16:49:28,1,2.9 m,47 km/h
6 maj 26 16:50:18,2,3.8 m,68 km/h
6 maj 26 16:51:24,1,3.9 m,54 km/h
6 maj 26 16:51:53,1,4.0 m,64 km/h
6 maj 26 16:52:21,2,5.0 m,47 km/h
6 maj 26 16:53:12,2,5.4 m,47 km/h
6 maj 26 16:53:18,2,6.4 m,45 km/h
6 maj 26 16:54:23,2,3.9 m,47 km/h
6 maj 26 16:55:29,1,4.5 m,45 km/h
6 maj 26 16:55:54,2,4.5 m,46 km/h
6 maj 26 16:56:02,2,4.7 m,56 km/h
6 maj 26 16:56:21,2,5.5 m,71 km/h
6 maj 26 16:57:59,2,4.1 m,80 km/h
6 maj 26 16:58:38,1,6.3 m,48 km/h
6 maj 26 17:01:50,1,4.1 m,41 km/h
6 maj 26 17:05:13,2,3.7 m,63 km/h
6 maj 26 17:05:56,2,4.7 m,54 km/h
6 maj 26 17:08:22,1,4.6 m,42 km/h
6 maj 26 17:08:46,1,4.8 m,28 km/h
6 maj 26 17:08:59,2,5.2 m,51 km/h
6 maj 26 17:09:13,2,4.7 m,41 km/h
6 maj 26 17:09:59,2,4.3 m,43 km/h
6 maj 26 17:10:35,2,3.7 m,66 km/h
6 maj 26 17:11:34,2,5.6 m,52 km/h
6 maj 26 17:12:01,2,4.4 m,61 km/h
6 maj 26 17:12:20,2,3.9 m,35 km/h
6 maj 26 17:12:55,1,3.3 m,48 km/h
6 maj 26 17:13:44,2,13.8 m,51 km/h
6 maj 26 17:16:10,1,5.9 m,55 km/h
6 maj 26 17:16:18,1,3.9 m,48 km/h
6 maj 26 17:18:42,2,4.4 m,69 km/h
6 maj 26 17:18:53,2,3.5 m,47 km/h
6 maj 26 17:19:16,2,3.6 m,40 km/h
6 maj 26 17:20:12,2,4.0 m,77 km/h
6 maj 26 17:20:42,2,8.8 m,50 km/h
6 maj 26 17:21:48,2,4.6 m,52 km/h
6 maj 26 17:21:55,2,4.9 m,47 km/h
6 maj 26 17:24:06,2,3.0 m,57 km/h
6 maj 26 17:25:45,2,3.0 m,14 km/h
6 maj 26 17:26:50,2,4.5 m,63 km/h
6 maj 26 17:27:07,2,4.3 m,64 km/h
6 maj 26 17:27:34,2,4.4 m,63 km/h
6 maj 26 17:27:44,2,3.9 m,32 km/h
6 maj 26 17:30:02,1,4.4 m,46 km/h
6 maj 26 17:30:29,2,5.3 m,45 km/h
6 maj 26 17:31:11,2,4.7 m,13 km/h
6 maj 26 17:31:22,2,5.0 m,42 km/h
6 maj 26 17:31:48,2,5.4 m,60 km/h
6 maj 26 17:32:01,1,4.0 m,55 km/h
6 maj 26 17:33:48,2,4.7 m,45 km/h
6 maj 26 17:33:53,2,4.1 m,39 km/h
6 maj 26 17:33:55,2,5.3 m,40 km/h
6 maj 26 17:34:24,2,4.4 m,36 km/h
6 maj 26 17:35:54,2,5.4 m,50 km/h
6 maj 26 17:36:14,2,5.0 m,42 km/h
6 maj 26 17:37:15,2,5.4 m,48 km/h
6 maj 26 17:38:10,2,14.2 m,57 km/h
6 maj 26 17:40:14,1,3.6 m,58 km/h
6 maj 26 17:40:52,2,6.5 m,46 km/h
6 maj 26 17:41:00,1,5.8 m,48 km/h
6 maj 26 17:42:31,1,3.7 m,43 km/h
6 maj 26 17:45:36,1,4.8 m,52 km/h
6 maj 26 17:47:11,2,4.0 m,64 km/h
6 maj 26 17:48:13,1,3.6 m,54 km/h
6 maj 26 17:48:23,2,5.1 m,71 km/h
6 maj 26 17:49:13,2,13.4 m,40 km/h
6 maj 26 17:49:40,2,7.2 m,45 km/h
6 maj 26 17:51:22,1,5.2 m,52 km/h
6 maj 26 17:51:47,2,4.1 m,39 km/h
6 maj 26 17:53:46,2,4.6 m,54 km/h
6 maj 26 17:57:05,2,5.2 m,70 km/h
6 maj 26 17:58:58,1,4.4 m,39 km/h
6 maj 26 18:00:50,2,3.9 m,47 km/h
6 maj 26 18:03:18,2,4.3 m,54 km/h
6 maj 26 18:05:18,1,14.5 m,57 km/h
6 maj 26 18:07:02,1,4.3 m,57 km/h
6 maj 26 18:07:08,2,4.3 m,50 km/h
6 maj 26 18:09:52,1,4.4 m,61 km/h
6 maj 26 18:10:36,2,7.0 m,54 km/h
6 maj 26 18:10:59,1,4.0 m,58 km/h
6 maj 26 18:11:13,2,5.0 m,46 km/h
6 maj 26 18:12:19,2,3.6 m,54 km/h
6 maj 26 18:12:48,2,4.9 m,47 km/h
6 maj 26 18:13:18,1,4.6 m,42 km/h
6 maj 26 18:14:06,2,4.1 m,48 km/h
6 maj 26 18:14:13,2,8.5 m,54 km/h
6 maj 26 18:14:47,2,5.0 m,35 km/h
6 maj 26 18:16:00,2,5.5 m,51 km/h
6 maj 26 18:17:01,1,6.0 m,50 km/h
6 maj 26 18:18:04,2,6.1 m,51 km/h
6 maj 26 18:18:06,1,7.7 m,57 km/h
6 maj 26 18:19:08,1,3.7 m,45 km/h
6 maj 26 18:19:37,2,4.6 m,66 km/h
6 maj 26 18:21:28,1,6.4 m,59 km/h
6 maj 26 18:22:50,2,3.7 m,53 km/h
6 maj 26 18:25:44,1,4.7 m,54 km/h
6 maj 26 18:25:50,2,4.6 m,48 km/h
6 maj 26 18:26:54,2,5.1 m,65 km/h
6 maj 26 18:29:05,2,4.0 m,55 km/h
6 maj 26 18:30:31,1,12.9 m,49 km/h
6 maj 26 18:31:30,1,4.0 m,78 km/h
6 maj 26 18:31:33,2,4.3 m,46 km/h
6 maj 26 18:32:23,2,5.7 m,52 km/h
6 maj 26 18:32:53,2,4.6 m,54 km/h
6 maj 26 18:33:03,1,3.8 m,57 km/h
6 maj 26 18:39:00,1,4.5 m,60 km/h
6 maj 26 18:39:33,2,3.8 m,77 km/h
6 maj 26 18:39:57,1,4.4 m,61 km/h
6 maj 26 18:41:15,1,4.5 m,62 km/h
6 maj 26 18:41:32,1,5.7 m,61 km/h
6 maj 26 18:42:15,1,6.6 m,50 km/h
6 maj 26 18:42:17,1,3.9 m,53 km/h
6 maj 26 18:42:22,2,7.8 m,53 km/h
6 maj 26 18:43:45,2,3.7 m,36 km/h
6 maj 26 18:46:04,1,7.6 m,52 km/h
6 maj 26 18:47:44,2,4.6 m,53 km/h
6 maj 26 18:48:01,1,4.8 m,42 km/h
6 maj 26 18:50:19,1,4.5 m,42 km/h
6 maj 26 18:51:05,2,4.4 m,61 km/h
6 maj 26 18:53:01,1,3.8 m,49 km/h
6 maj 26 18:53:38,2,4.5 m,63 km/h
6 maj 26 18:55:29,2,6.6 m,52 km/h
6 maj 26 18:55:55,1,14.3 m,65 km/h
6 maj 26 19:03:49,2,7.1 m,55 km/h
6 maj 26 19:08:17,2,5.1 m,61 km/h
6 maj 26 19:09:01,1,4.1 m,55 km/h
6 maj 26 19:09:08,1,4.8 m,59 km/h
6 maj 26 19:09:11,1,4.0 m,58 km/h
6 maj 26 19:09:49,2,5.9 m,63 km/h
6 maj 26 19:10:51,2,4.2 m,68 km/h
6 maj 26 19:13:52,2,5.1 m,45 km/h
6 maj 26 19:14:29,1,5.8 m,59 km/h
6 maj 26 19:14:39,1,5.3 m,54 km/h
6 maj 26 19:15:14,2,4.5 m,59 km/h
6 maj 26 19:15:26,2,5.4 m,54 km/h
6 maj 26 19:15:41,2,4.3 m,57 km/h
6 maj 26 19:16:36,2,4.7 m,57 km/h
6 maj 26 19:17:36,2,4.5 m,56 km/h
6 maj 26 19:17:59,2,4.7 m,71 km/h
6 maj 26 19:18:16,2,3.9 m,65 km/h
6 maj 26 19:18:25,2,4.4 m,75 km/h
6 maj 26 19:19:03,2,4.5 m,46 km/h
6 maj 26 19:20:07,1,3.2 m,20 km/h
6 maj 26 19:20:29,2,8.2 m,54 km/h
6 maj 26 19:20:49,2,4.7 m,35 km/h
6 maj 26 19:24:30,2,5.1 m,69 km/h
6 maj 26 19:24:48,1,4.6 m,16 km/h
6 maj 26 19:30:07,2,4.5 m,52 km/h
6 maj 26 19:33:58,2,5.2 m,52 km/h
6 maj 26 19:39:52,2,4.7 m,65 km/h
6 maj 26 19:47:42,1,4.2 m,72 km/h
6 maj 26 19:48:53,1,4.6 m,46 km/h
6 maj 26 19:50:57,1,4.0 m,58 km/h
6 maj 26 19:51:19,2,4.1 m,53 km/h
6 maj 26 19:51:49,2,3.2 m,14 km/h
6 maj 26 19:52:34,2,4.1 m,36 km/h
6 maj 26 19:52:41,2,5.4 m,46 km/h
6 maj 26 19:54:36,1,4.6 m,52 km/h
6 maj 26 19:58:18,1,4.6 m,48 km/h
6 maj 26 19:58:20,1,4.2 m,47 km/h
6 maj 26 20:00:29,1,6.0 m,39 km/h
6 maj 26 20:00:49,2,4.0 m,51 km/h
6 maj 26 20:02:41,2,4.3 m,65 km/h
6 maj 26 20:05:17,1,6.3 m,63 km/h
6 maj 26 20:09:45,2,3.2 m,65 km/h
6 maj 26 20:12:26,2,5.4 m,51 km/h
6 maj 26 20:14:43,2,4.8 m,53 km/h
6 maj 26 20:17:05,2,4.2 m,59 km/h
6 maj 26 20:18:05,2,5.1 m,63 km/h
6 maj 26 20:19:28,2,4.9 m,48 km/h
6 maj 26 20:20:44,2,5.3 m,29 km/h
6 maj 26 20:21:13,2,5.0 m,57 km/h
6 maj 26 20:22:41,2,6.1 m,46 km/h
6 maj 26 20:25:14,1,4.6 m,47 km/h
6 maj 26 20:26:09,1,5.0 m,62 km/h
6 maj 26 20:29:10,2,10.4 m,48 km/h
6 maj 26 20:30:34,2,5.3 m,38 km/h
6 maj 26 20:30:54,2,5.0 m,44 km/h
6 maj 26 20:32:10,2,4.8 m,39 km/h
6 maj 26 20:37:27,2,5.3 m,42 km/h
6 maj 26 20:39:31,1,4.0 m,78 km/h
6 maj 26 20:45:27,2,8.9 m,46 km/h
6 maj 26 20:45:55,1,3.8 m,39 km/h
6 maj 26 20:47:42,1,4.9 m,45 km/h
6 maj 26 20:49:38,1,4.1 m,53 km/h
6 maj 26 20:50:53,2,5.5 m,61 km/h
6 maj 26 20:51:07,2,7.7 m,39 km/h
6 maj 26 20:54:11,1,4.7 m,67 km/h
6 maj 26 20:54:54,2,4.6 m,37 km/h
6 maj 26 20:56:46,1,5.7 m,51 km/h
6 maj 26 21:00:19,1,1.2 m,15 km/h
6 maj 26 21:00:47,1,4.0 m,64 km/h
6 maj 26 21:06:38,1,8.0 m,46 km/h
6 maj 26 21:18:26,2,3.4 m,50 km/h
6 maj 26 21:23:17,2,3.3 m,50 km/h
6 maj 26 21:27:36,1,4.3 m,70 km/h
6 maj 26 21:31:36,2,4.1 m,48 km/h
6 maj 26 21:33:48,1,4.5 m,47 km/h
6 maj 26 21:33:58,1,4.8 m,34 km/h
6 maj 26 21:35:19,2,4.5 m,76 km/h
6 maj 26 21:37:00,2,4.4 m,26 km/h
6 maj 26 21:37:08,2,4.7 m,51 km/h
6 maj 26 21:40:00,1,5.2 m,31 km/h
6 maj 26 21:41:06,2,6.1 m,48 km/h
6 maj 26 21:44:34,2,4.6 m,48 km/h
6 maj 26 21:45:41,2,4.1 m,52 km/h
6 maj 26 21:45:44,2,3.9 m,52 km/h
6 maj 26 21:48:00,2,4.5 m,41 km/h
6 maj 26 21:48:45,2,7.3 m,56 km/h
6 maj 26 21:52:13,2,4.7 m,62 km/h
6 maj 26 21:54:53,2,4.4 m,57 km/h
6 maj 26 21:56:56,1,3.7 m,38 km/h
6 maj 26 21:57:33,2,3.8 m,67 km/h
6 maj 26 21:58:01,2,4.5 m,60 km/h
6 maj 26 21:59:10,2,4.0 m,38 km/h
6 maj 26 22:11:44,1,4.5 m,50 km/h
6 maj 26 22:12:03,2,4.9 m,48 km/h
6 maj 26 22:12:23,2,4.6 m,60 km/h
6 maj 26 22:13:03,2,4.2 m,54 km/h
6 maj 26 22:13:42,2,4.7 m,69 km/h
6 maj 26 22:14:04,2,3.5 m,72 km/h
6 maj 26 22:14:08,2,5.1 m,70 km/h
6 maj 26 22:16:22,1,4.1 m,55 km/h
6 maj 26 22:19:05,1,4.6 m,47 km/h
6 maj 26 22:20:51,2,4.0 m,44 km/h
6 maj 26 22:20:58,2,4.9 m,56 km/h
6 maj 26 22:22:47,2,4.1 m,74 km/h
6 maj 26 22:26:05,2,4.7 m,54 km/h
6 maj 26 22:26:08,2,5.7 m,67 km/h
6 maj 26 22:27:22,1,3.2 m,57 km/h
6 maj 26 22:29:47,2,4.7 m,35 km/h
6 maj 26 22:30:56,2,5.4 m,57 km/h
6 maj 26 22:30:57,2,6.3 m,61 km/h
6 maj 26 22:31:41,2,6.6 m,57 km/h
6 maj 26 22:33:27,2,3.4 m,54 km/h
6 maj 26 22:38:05,1,18.7 m,38 km/h
6 maj 26 22:38:11,1,1.0 m,19 km/h
6 maj 26 22:41:00,2,4.8 m,20 km/h
6 maj 26 22:41:30,2,5.4 m,55 km/h
6 maj 26 22:43:02,2,3.7 m,60 km/h
6 maj 26 22:46:17,1,5.4 m,52 km/h
6 maj 26 22:47:25,1,4.2 m,80 km/h
6 maj 26 22:48:27,1,4.5 m,53 km/h
6 maj 26 22:50:02,2,7.2 m,67 km/h
6 maj 26 22:51:55,1,8.0 m,63 km/h
6 maj 26 22:57:23,1,9.4 m,67 km/h
6 maj 26 23:01:38,2,4.3 m,53 km/h
6 maj 26 23:11:16,1,4.2 m,75 km/h
6 maj 26 23:20:18,1,4.2 m,67 km/h
6 maj 26 23:20:32,2,4.5 m,39 km/h
6 maj 26 23:48:16,2,3.8 m,62 km/h
7 maj 26 0:13:59,1,4.7 m,47 km/h
7 maj 26 0:14:42,1,5.5 m,52 km/h
7 maj 26 0:17:12,2,4.5 m,50 km/h
7 maj 26 0:28:22,2,9.7 m,62 km/h
7 maj 26 0:41:05,1,10.9 m,62 km/h
7 maj 26 0:42:47,1,3.9 m,78 km/h
7 maj 26 0:48:48,2,4.1 m,50 km/h
7 maj 26 1:23:40,1,7.8 m,51 km/h
7 maj 26 1:45:31,2,5.2 m,44 km/h
7 maj 26 1:53:46,1,4.9 m,47 km/h
7 maj 26 1:54:17,1,4.7 m,50 km/h
7 maj 26 2:32:00,1,4.5 m,60 km/h
7 maj 26 3:32:49,1,10.1 m,51 km/h
7 maj 26 3:34:50,1,5.2 m,46 km/h
7 maj 26 3:44:59,1,4.1 m,48 km/h
7 maj 26 3:47:29,2,4.4 m,53 km/h
7 maj 26 3:56:11,2,4.2 m,48 km/h
7 maj 26 4:08:11,2,5.3 m,77 km/h
7 maj 26 4:11:15,1,5.1 m,88 km/h
7 maj 26 4:11:49,2,5.6 m,45 km/h
7 maj 26 4:12:26,1,6.1 m,39 km/h
7 maj 26 4:19:43,2,4.4 m,42 km/h
7 maj 26 4:22:23,1,4.0 m,50 km/h
7 maj 26 4:24:36,1,4.0 m,73 km/h
7 maj 26 4:26:19,1,4.5 m,79 km/h
7 maj 26 4:30:52,1,4.6 m,53 km/h
7 maj 26 4:35:41,1,5.8 m,59 km/h
7 maj 26 4:37:51,1,3.8 m,48 km/h
7 maj 26 4:45:02,1,3.8 m,52 km/h
7 maj 26 4:45:19,1,4.4 m,88 km/h
7 maj 26 4:48:16,1,3.6 m,62 km/h
7 maj 26 4:49:57,2,6.4 m,62 km/h
7 maj 26 4:50:16,2,6.8 m,52 km/h
7 maj 26 4:53:20,1,5.5 m,51 km/h
7 maj 26 4:53:31,2,5.6 m,46 km/h
7 maj 26 4:59:58,1,7.6 m,58 km/h
7 maj 26 5:02:45,1,4.1 m,64 km/h
7 maj 26 5:03:07,1,3.5 m,54 km/h
7 maj 26 5:03:15,1,7.3 m,50 km/h
7 maj 26 5:04:31,1,4.0 m,55 km/h
7 maj 26 5:04:44,1,3.7 m,45 km/h
7 maj 26 5:05:02,1,3.9 m,66 km/h
7 maj 26 5:07:46,1,4.1 m,43 km/h
7 maj 26 5:08:54,1,3.6 m,47 km/h
7 maj 26 5:08:54,1,1.0 m,47 km/h
7 maj 26 5:13:33,1,4.3 m,50 km/h
7 maj 26 5:14:35,1,4.8 m,52 km/h
7 maj 26 5:15:04,1,4.4 m,48 km/h
7 maj 26 5:17:01,2,3.6 m,50 km/h
7 maj 26 5:20:43,2,3.6 m,78 km/h
7 maj 26 5:22:39,2,15.7 m,46 km/h
7 maj 26 5:23:00,1,16.2 m,47 km/h
7 maj 26 5:23:32,1,3.7 m,48 km/h
7 maj 26 5:24:43,1,4.2 m,53 km/h
7 maj 26 5:25:09,1,3.8 m,55 km/h
7 maj 26 5:26:28,2,4.7 m,54 km/h
7 maj 26 5:26:35,1,4.2 m,60 km/h
7 maj 26 5:26:47,1,4.4 m,62 km/h
7 maj 26 5:33:43,1,4.2 m,48 km/h
7 maj 26 5:33:50,1,4.3 m,46 km/h
7 maj 26 5:33:52,1,3.6 m,50 km/h
7 maj 26 5:33:54,1,4.0 m,49 km/h
7 maj 26 5:33:56,1,6.7 m,57 km/h
7 maj 26 5:33:59,1,4.2 m,44 km/h
7 maj 26 5:34:00,1,4.4 m,53 km/h
7 maj 26 5:34:04,1,3.6 m,52 km/h
7 maj 26 5:34:06,1,4.8 m,56 km/h
7 maj 26 5:34:14,1,4.3 m,48 km/h
7 maj 26 5:36:04,1,4.2 m,64 km/h
7 maj 26 5:39:11,1,3.7 m,67 km/h
7 maj 26 5:39:30,1,4.4 m,55 km/h
7 maj 26 5:41:30,1,4.0 m,59 km/h
7 maj 26 5:41:36,1,4.2 m,55 km/h
7 maj 26 5:46:17,2,6.8 m,58 km/h
7 maj 26 5:46:18,1,3.8 m,53 km/h
7 maj 26 5:46:29,1,4.4 m,59 km/h
7 maj 26 5:47:54,1,5.9 m,78 km/h
7 maj 26 5:50:01,1,3.5 m,64 km/h
7 maj 26 5:52:53,2,4.3 m,49 km/h
7 maj 26 5:53:47,1,5.3 m,19 km/h
7 maj 26 5:54:56,1,5.1 m,42 km/h
7 maj 26 5:55:07,1,4.8 m,78 km/h
